City	100	101	10101	102	10201	103	104	105	106	10601	107	108	109	110	11001	111	112	113	114	115	116	117	11701	118	119	200	201	202	203	20301	20302	204	20401	205	206	20601	207	208	20801	209	20901	210	211	212	21201	213	214	215	216	217	21701	218	219	220	221	222	22201	223	22301	224	22401	225	300	30001	301	302	30201	30202	30203	30204	30205	30206	30207	30208	30209	302010	302011	302012	303	30301	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	400	401	402	403	40301	404	40401	405	406	40601	407	408	40801	409	40901	410	41001	411	41101	412	41201	413	41301	414	415	41501	416	41601	417	41701	418	41801	419	41901	420	42001	421	422	423	42301	424	42401	500	50001	501	50101	50102	502	503	504	505	50501	506	507	50701	508	509	510	511	512	513	514	515	51501	51502	516	517	518	519	520	600	601	602	60201	603	60301	60302	604	60401	60402	60403	60404	60405	60406	605	60501	606	60601	607	60701	60702	60703	60704	60705	60706	608	60801	60802	60803	60804	60805	60806	60807	60808	60809	608010	609	610	61001	61002	61003	611	61101	612	613	61301	61302	61303	61304	61305	61306	61307	61308	61309	613010	613011	613012	613013	613014	613015	613016	614	61401	61402	61403	61404	61405	61406	61407	61408	61409	614010	614011	614012	614013	614014	614015	614016	614017	614018	614019	614020	614021	614022	614023	614024	614025	614026	614027	614028	614029	614030	614031	614032	614033	614034	615	61501	61502	61503	61504	61505	61506	616	61601	61602	61603	61604	61605	61606	61607	61608	61609	616010	616011	616012	616013	616014	616015	616016	616017	616018	616019	616020	616021	616022	616023	616024	616025	616026	616027	616028	616029	616030	616031	616032	616033	616034	616035	616036	616037	616038	616039	616040	616041	616042	616043	616044	616045	616046	617	618	619	61901
Nowe Miasto Lubawskie		Nowe Miasto		Neumarkt		Neumark	Neumark	Neumark	Neumark		Neumark		Neumark	Neumark		Neumark		Neumark	Neumark	Neumark		Neumark				Neumark		Neumark	Neumark 	Novemiastro				Neumark	Nowemiasto		Neumark			Neumark		Neumark	Neumark	Neumark		Neumark	Neumark	Neumark	Neumark	Neumark				Neumark	Neumark	Nowe Miasto		Neumark		Neumark		Neumark			Neumark	Nowemiasto	Novum forum	Neophorum	Nuwenmarkt	Neugemarckt	Nimerck								Neumark		Neumark	Neumark	Neumark	Neumark		Neumark	Neumark	Neumark	Neumark		Neumark	Neumark	Neumark	Neumark	Nowe Miasto	Neumark	Neumark	Neumark	Nowe Miasto		Nowe Miasto	Neumark		Nowemiasto		Nowemiasto			Nowe Miasto	Nowemiasto		Nowe Miasto				Neumark		Nowe Miasto		Neumark		Nowe Miasto	Neumark		Nowe Miasto				Neumark		Nowe Miasto		Neumark		Neumark	Neumark	Neumark		Nowe Miasto		Nowe Miasto Lubawskie		Neumark	Nowe Miasto Lubawskie		Nowe Miasto	Nowe Miasto	Nowe Miasto	Nowe Miasto		Nowe Miasto	Neumark		Nowe Miasto	Nowe Miasto	Nowe Miasto Lubawskie	Nowe Miasto Lubawskie	Nowe Miasto Lubawskie	Nowe Miasto Lubawskie	Nowe Miasto Lubawskie	Neumark	Nowemiasto		Nowe Miasto Lubawskie	Nowe Miasto Lubawskie	Nowe Miasto Lubawskie	Nowe Miasto		Nowe Miasto Lubawskie	Nowe Miasto Lubawskie	Nowe Miasto Lubawskie		Nowe Miasto Lubawskie	Nowe Miasto									Nowe Miasto Lubawskie		Nowe Miasto Lubawskie		Nowe Miasto Lubawskie	Neumark						Nowe Miasto Lubawskie	Neumark	Nowe Miasto									Nowe Miasto Lubawskie	Nowe Miasto Lubawskie	Neumark			Nowe Miasto Lubawskie		Nowe Miasto Lubawskie	Neumark	Nowe Miasto Lubawskie	Nowemiasto Lubawskie															Nowe Miasto Lubawskie	Nove Mjasto Lubavske	Nowe-Miasto	נובה מיאסטו	Нове Мјасто Лубавскје	Нове-Място	Нове Място Любавске	Нове-Място-Любавське	Нове-Място-Любавске	盧巴瓦新城																										Nowe Miasto Lubawskie	Neumark 																																																					Nowe Miasto Lubawskie	Nowe Miasto Lubawskie	Nowe Miasto Lubawskie	Neumark
Nowy Dwór Gdański 		Tiegenhof		Tiegenhof		Tiegenhof	Tiegenhof	Tiegenhof	Tiegenhof		Tiegenhof		Tiegenhof	Tiegenhof			Tiegenhof	Tiegenhof		Tiegenhof				Tiegenhof		Tiegen			Tiegenhof					Tiegenhof	Tiegenhof		Tiegenhof			Tiegenhof		Tiegenhof	Tiegenhof	Tiegenhof		Tiegenlif	Tiegenhof	Tiegenhof	Tiegenhof	Tiegenhof			Tiegenhof	Tiegenhof	Tiegenhof			Tiegenhof		Tiegenhoff		Tiegenhof			Tiegenhof	Nowy Dwór													Tiegenhof		Tiegenhof	Tiegenhof	Tiegenhof	Tiegenhof		Tiegenhof	Tiegenhof	Tiegenhof	Tiegenhof		Tiegenhof	Tiegenhof	Tiegenhof	Tiegenhof	Nowodwór	Tiegenhof	Tiegenhof	Tiegenhof	Nowodwór		Nowodwór	Tiegenhof		Nowydwór		Nowydwór			Nowy Dwór	Tiegenhof		Tiegenhof 	Nowy Dwór	Tiegenhof		Tiegenhof		Tiegenhof 	Nowy Dwór	Tiegenhof		Nowy Dwór	Tiegenhof		Tiegenhof		Tiegenhof		Tiegenhof		Tiegenhof	Nowy Dwór	Tiegenhof		Tiegenhof	Tiegenhof	Tiegenhof		Nowy Dwór		Nowy Dwór Gdański 		Grosses Werder	Nowy Dwór Gdański		Nowy Dwór	Nowy Dwór	Nowy Dwór Gdański	Nowy Dwór		Nowy Dwór Gdański 	Tiegenhof		Nowy Dwór Gdański 	Nowy Dwór Gdański 	Nowy Dwór Gdański	Nowy Dwór Gdański	Nowy Dwór Gdański	Nowy Dwór Gdański 	Nowy Dwór Gdański	Tiegenhof	Nowy Dwór		Nowy Dwór Gdański 	Nowy Dwór Gdański 	Nowy Dwór Gdański 	Nowy Dwór Gdański 		Nowy Dwór Gdański	Nowy Dwór Gdański 	Nowy Dwór Gdański 		Nowy Dwór Gdański 										Nowy Dwór Gdański 		Nowy Dwór Gdański		Nowy Dwór Gdański	Tiegenhof						Nowy Dwór Gdański	Tiegenhof										Nowy Dwór Gdański	Nowy Dwór Gdański	Tiegenhof			Nowy Dwór Gdański		Nowy Dwór Gdański	Tiegenhof	Nowy Dwór Gdański	Nowodwor	Nowodwór	Weyershof													Nowy Dwór Gdański	Novi Dvora Gdaņska	Nowi Dwór	Nowy Dwn Gdanski	Nowy Dwór Gdański	Tiegenhof	Нови Двор Гдањски	Нови Двур Гдански	Новий Двур-Ґданський	Новы-Двур-Гданьский	格但斯克新莊園																									Nowy Dwór Gdański	Nowi Dwór	Tiegenhof					Nowi Dwór	Nowy Dwór Gdański	Tiegenhof																																													Nowy Dwór Gdański 	Nowy Dwór Gdański 	Nowy Dwór Gdański 	Tiegenhof
Nowy Staw		Nowystaw		Neuteich		Neuteich	Neuteich	Neuteich	Neuteich		Neuteich	 	Neuteich	Neuteich		Neuteich	Neuteich	Neüteich	Neuteich	Neuteich	Neuteich			Neuteich	Neutrich 	Neuteich		Neuteuch	Neuteich					Neuteich	Nowystaw		Neuteich			Neuteich		Neuteich	Neuteich	Neuteich		Neuteich	Neuteich	Neuteich	Neuteich	Neuteich			Nowystaw		Neuteich			Neuteich		Neuteich					Neuteich	Nowystaw 	Neuteich												Neuteich		Neuteich	Neuteich	Neuteich	Neuteich	Nowy Staw	Neuteich	Neuteich	Neuteich	Neuteich		Neuteich	Neuteich	Neuteich	Neuteich	Nytych	Neuteich	Neuteich	Neuteich			Nytych	Neuteich				Nytych			Nytych			Neuteich 	Nytych	Neuteich		Neuteich		Neuteich	Nytych	Neuteich		Nytych	Neuteich		Neuteich		Neuteich						Neuteich		Neuteich	Neuteich	Neuteich		Nytych		Nowy Staw		Neuteich			Nytych	Nytych	Nowy Staw	Nowy Staw	Neuteich	Nowy Staw	Neuteich		Nowy Staw	Nowy Staw	Nowy Staw	Nowy Staw		Nowy Staw	Nowy Staw	Neuteich	Nowy Staw		Nowy Staw	Nowy Staw	Nowy Staw	Nowy Staw		Nowy Staw	Nowy Staw	Nowy Staw		Nowy Staw	Nytych											Nowy Staw		Nowy Staw	Neuteich						Nowy Staw	Neuteich										Nowy Staw	Nowy Staw	Neuteich	Nytëch		Nowy Staw		Nowy Staw	Neuteich	Nowy Staw	Nytych	Neitych														Nowy Staw	Neuteich	Nitëch	Novi Stava	Nowy Staw	Nytych	Новий Став	Нови Став	Новы-Став	新斯塔夫																										Nowy Staw	Nytych	Neuteich					Nowy Staw	Nowi Stôw	Nowy Staw	Neuteich	Nitëch	Nytëch																																										Nowy Staw	Nowy Staw	Nowy Staw	Neuteich
Oliwa		Kl Oliwa		Oliva		Clost Oliva	Oliva	Olive	Oliva		Oliva	Oliva	Oliva	Oliva		Oliva	Olive	Oliva	Oliva	Oliva	Oliva	Oliva		Oliva		Oliva	Oliva	Oliva	Oliva			Oliwa			Oliva		Oliva	Oliva		Oliva		Oliva	Oliva	Oliva					Oliva	Oliva		Oliva	Oliwa		Oliva	Oliwa		Oliva		Oliva			Oliva		Oliva	Oliwa	Oliva												Oliva		Oliva	Oliva	Oliva	Oliva	Oliwa	Oliva	Oliva	Oliva	Oliva		Oliva		Oliva	Oliva	Oliwa	Oliva	Oliva	Oliva			Oliwa	Oliva				Oliwa			Oliwa			Oliwa				Oliva		Oliva	Oliwa	Oliva		Oliwa	Oliva		Oliwa		Oliva				Oliwa		Oliva	Danzig-Oliva	Oliva	Oliva	Oliva		Oliwa		Oliwa	Danzig-Oliwa	Oliva-Forst			Oliwa	Oliwa	Oliwa	Oliwa		Oliwa	Oliva		Oliwa	Oliwa	Oliwa					Oliva			Gdańsk-Oliwa	Oliwa	Oliwa	Oliwa		Oliwa		Oliwa	Danzig-Oliwa	Oliwa			Oliwa	Òléwa	Òlëwa							Oliwa		Oliwa	Oliva						Oliwa	Danzig-Oliva	Danzig-Oliwa	Oliva	Gdańsk-Oliwa								Oliwa	Oliva	Òlëwa	Òléwa	Oliwa		Oliwa	Oliva	Oliwa																Oliwa	Oliva																																		Oliwa	Òlëwa	Òléwa	Oliva				Òlëwa	Oliwa	Oliva																																													Oliwa	Oliwa	Oliwa	Oliva
Osiek		Osjek		Osjek		Ossiek	Ossiek	Ossieck	Ossiek		Oschieck			Ossiek		Osseck	Ossieck			Oschiecko								Ossieck							Osjek							Oschiek		Ossieck					Ossiek				Osiek		Oschieck			Ossiek		Ossieck						Osiek	Ossiek	Osszek	Mossegy	Musegk	Messeck								Ossiek		Ossiek	Ossiek	Ossiek	Ossiek	Osiek	Ossiek	Ossiek	Ossieck	Ossieck		Ossiek		Ossiek	Ossiek	Osiek	Ossiek	Ossiek	Ossiek			Osiek								Osiek			Osiek						Osiek		Ossiek			Osiek		Ossiek		Osiek						Burgfelde		Ossiek	Ossiek	Osiek		Osiek		Osiek		Osiek					Osiek			Osiek	Ossiek		Osiek		Osiek			Osiek								Osiek		Osiek	Osiek	Osiek		Osiek												Osiek		Osiek	Ossiek																	Osiek	Osiek	Ossiek	Òsek		Osiek		Osiek	Ossiek	Osiek 	Burgfelde															Osiek 	Осек	Osek																																	Osiek 	Ossieck						Òsek	Osiek																																														Osiek	Osiek	Osiek	
Ostromecko		Ostromeck		Ostrowice		Ostrometzko	Ostrometzke	Ostrometzke	Ostrometzke		Ostrometzko			Ostrometzke			Ostrowetzke	Ostromelzko		Ostrometzko						Ostrometzko			Ostrometke					Ostrometzka	Ostromek							Ostrometzko	Ostrometzko	Ostrometzko		Ostrometzko		Ostrometzko	Ostromeko	Ostrometzko		Ostrometzko			Ostrometzko			Ostromecko		Ostrometzko						Ostromecko	Ostromiȩck	Ostromȩck	Ostrmetzko	Ostromezh	Ostromes	Ostromitz	Ostermitz	Ostirmitch	Ostrimitz				Ostromecko		Ostrometzko	Ostrometzko	Ostrometzko	Ostrometzko		Ostrometzko	Ostrometzko	Ostrometzko	Ostrometzko		Ostrometzko		Ostrometzko	Ostrometzko	Ostromecko	Ostrometzko	Ostrometzko	Ostrometzko			Ostromieck	Ostromecko							Ostromecko			Ostromecko				Ostrometzko		Ostromecko		Ostrometzko		Ostromecko	Ostrometzko		Ostromecko		Ostrometzko						Ostrometz		Ostrometzko	Ostrometzko	Ostrometzko		Ostromecko		Ostromecko		Ostrometzko					Ostromecko			Ostromecko	Ostrometzko		Ostromecko	Ostromecko	Ostromecko	Ostromecko							Ostromecko	Ostromecko	Ostromecko	Ostramecko		Ostromecko		Ostromecko		Ostromecko												Ostromecko		Ostromecko	Ostrometzko						Ostromecko	Ostrometzko	Ostermetz										Ostromecko	Ostrometzko	Ostermetz		Ostromecko		Ostromecko	Ostrometzko	Ostromecko 	Ostromęck	Ostromięck	Ostromęczek	Ostermetz												Ostromecko 																																			Ostromecko 	Ostrometzko																																																					Ostromecko	Ostromecko	Ostromecko	Ostrometzko
Peplin		Poplinken		Peplingen		Peplingen	Peplinchen	Replinchen	Rplinchen		Peplin			Rplinchen			Replinchen																		Poplinken							Peplin		Peplin									Peplin		Peplin											Peplin	Pelplin	Marienberg	Mons Sanctae Mariae	Neu-Doberan	Novum Dubran	Pulplin	Polpnin	Poplin	Samboria	Sambursh	Peplyn	Poelplinum	Peplin			Peplin		Peplin					Peplin		Peplin			Peplin	Peplin	Peplin		Peplin			Peplin																								Peplin								Plinne			Peplin					Peplin																											Peplin			Peplin					Peplin	Peplyn	Peplëno							Peplin	Peplin	Peplin	Peplin																		Peplin	Peplën	Peplin	Plinne	Peplin		Peplin	Peplin	Pelplin	Peplinskie	Plinne 																																																	Peplin	Peplin	Peplin					Peplin																																															Peplin	Peplin	Peplin	
Pietrzykowo		Peterkow				Gross Petrekau					Gross Peterkau		Gross Peterkau							Gross Peterkau															Peterkow									Gross Peterkau					Gross Peterkau				Piotrkow		Gross Peterkau			Gross Peterkau		Gross-Peterkau						Piotrkowo	Peterkau												Gross Peterkau			Gross Peterkau	Gross Peterkau			Gross Peterkau	Peterkau		Gross Peterkau				Gross Peterkau	Gross Peterkau		Gross-Peterkau	Gross Peterkau	Peterkau			Wielki Piotrkowo	Gross Peterkau							Wielkie Pietrzykowy									Gross Peterkau	Piotrzykowo	Gross Peterkau			Wielkie Pietrzykowy		Gross-Peterkau								Peterkau		Gross Peterkau	Gross Peterkau	Gross Peterkau				Piotrkowo		Gross Peterkau	Piotrkowo				Piotrzykowo				Gross Peterkau															Piotrzykowo	Pietrzykowo			Piotrkowo		Pietrzykowo												Pietrzykowo		Pietrzykowo	Gross Peterkau																		Pietrzykowo	Gross Peterkau			Pietrzykowo		Pietrzykowo	Gross Peterkau	Pietrzykowo 	Petrikovia major	Pietrzykowo Wielky	Pietrzykowy													Pietrzykowo 																																			Pietrzykowo 	Wieldżé Pietrzëkòwa	Pietrzëkòwa	Wieldżé Pietrzëkòwë	Wieldżé Pietrzëchòwë	Gross Peterkau																																																	Pietrzykowo	Pietrzykowo	Pietrzykowo	
Pokrzywno		Pokrzywna		Engelsburg		Engelsburg	Engelsburg	Engelsburg	Engelsburg		Engelsburg		Engelsburg	Engelsburg			Engelsburg	Engelsburg								Engelsburg			Engelsberg						Pokrzywna					Engelsburg				Engelsburg											Engelsburg	Pokrzywno	Engelsburg						Engelsburg			Engelsburg	Porkzywno															Engelsburg		Engelsburg					Engelsburg		Engelsburg		Engelsburg	Engelsburg		Engelsburg	Engelsburg	Engelsburg											Pokrzywno									Pokrzywno		Engelsburg		Pokrzywno	Engelsburg										Engelsburg		Engelsburg	Engelsburg	Engelsburg				Pokrzywno		Pokrzywno																		Engelsburg	Pokrzywno							Pokrzywno		Pokrzywno		Pokrzywno			Pokrzywno	Pòkrzywno								Pokrzywno		Pokrzywno	Engelsburg																		Pokrzywno	Engelsburg			Pokrzywno		Pokrzywno	Engelsburg	Pokrzywno 	Koprywno	Coprzino	Engelberch	Engelszbergk	Koprzywno											Pokrzywno 																																			Pokrzywno 																																																						Pokrzywno	Pokrzywno	Pokrzywno	Engelsburg
Prabuty	Riesenburg	Riesenburg		Riesenburg		Riesenburg	Riesenburg	Riesenburg	Riesenburg		Riesenburg	 	Riesenburg	Riesenburg		 	Riesenburg	Riesenburg	 	Riesenburg	Riesenburg					Riesenburg		Riesenburg	Riesenburg	Prabutka				Riesenburg	Riesenber		Riesenburg			Riesenburg		Riesenburg	Riesenburg	Riesenburg		Riesenburg	Riesenburg	Riesenburg	Riesenburg	Riesenburg		Riesenburg	Prabuta	Riesenburg	Riesenburg	Rzesin l Prabuty	Riesenburg	Riesenburg		Riesenburg	Prabutha	Riesenburg			Riesenburg	Prabuty	Riesenburg	Resem	Resenburg	Resinburg	Prabuth								Riesenburg		Riesenburg	Riesenburg	Riesenburg	Riesenburg		Riesenburg	Riesenburg	Riesenburg	Riesenberg	Prabuty	Riesenburg	Riesenburg	Riesenburg	Riesenburg	Prabuty	Riesenburg	Riesenburg	Riesenburg	Prabuty		Prabuty	Riesenburg		Prabuty		Prabuty			Prabuty	Prabuty	Riesenburg	Riesenburg	Prabuty	Riesenburg	Prabuty	Riesenburg	Prabuty	Riesenburg	Prabuty	Riesenburg		Prabuty	Riesenburg		Riesenburg	Prabuty	Riesenburg		Riesenburg				Riesenburg		Riesenburg	Riesenburg	Riesenburg		Prabuty	Riesenburg	Prabuty		Riesenburg			Prabuty	Prabuty	Prabuty	Prabuty	Riesenburg	Prabuty	Riesenburg		Prabuty	Prabuty	Prabuty	Prabuty		Prabuty	Prabuty	Riesenburg	Prabuty		Prabuty	Prabuty	Prabuty	Prabuty		Prabuty	Prabuty	Prabuty		Prabuty												Prabuty		Prabuty	Riesenburg						Riesenburg	Prabuty										Prabuty	Prabuty	Riesenburg			Prabuty		Prabuty	Riesenburg	Prabuty 																Prabuty 	Prabutai	Prabùtë	Prabuti	Riesenburg	Прабути	Прабуты	普拉布蒂																												Prabuty 	Riesenburg						Prabùtë	Resia	Resemburg	plebanus de Resya		de Ryzenburg	castro Resinburg	civitas Resinburg	Risenburgk	Resimborg	Resinburg	Resenburgk	Prābūtis	Prabuth	Prabuty 	Resemburg	Risenburg	Pranbuthy	Prabuti 	Rizemberg	z Prabuthami	pod Prabutami	Riesenburg	do Prabut	Prabuty	Prabuté	Prabuti	Prabuty	Riesenburg																			Prabuty	Prabuty	Prabuty	Riesenburg
Pruszcz Gdański		Prust		Brust		Prust	Prust				Praust		Prust							Praust				Praust										Praust	Prust					Praust		Praust	Praust	Praust		Praust							Praust	Praust	Praust			Praust		Praust		Praust			Praust	Pruszcz	Praust	Prust											Praust		Praust	Praust	Praust	Praust	Pruszec	Praust	Praust	Praust	Praust		Praust	Praust	Praust	Praust	Pruszcz	Praust	Praust	Praust	Pruszcz		Pruszcz	Praust		Pruszcz		Pruszcz			Pruszcz	Praust		Praust	Pruszcz			Praust		Praust	Pruszcz	Praust		Praust	Pruszcz		Praust		Praust		Praust				Praust	Danzig-Praust	Praust	Praust	Praust		Pruszcz		Pruszcz Gdański		Praust	Pruszcz		Pruszcz	Pruszcz	Pruszcz Gdański	Pruszcz		Pruszcz	Praust		Pruszcz	Pruszcz Gdański	Pruszcz Gdański	Pruszcz Gdański	Pruszcz Gdanski	Pruszcz Gdański	Pruszcz Gdański	Praust			Pruszcz Gdański	Pruszcz Gdański	Pruszcz Gdański	Pruszcz Gdański		Pruszcz Gdański	Pruszcz Gdański	Pruszcz Gdański		Pruszcz Gdański										Pruszcz Gdański		Pruszcz Gdański		Pruszcz Gdański	Praust						Praust	Pruszcz Gdański	Pruszcz	Pruszcz Gduńsczi								Pruszcz Gdański	Pruszcz Gdański	Praust			Pruszcz Gdański		Pruszcz Gdański	Praust	Pruszcz Gdański	Pruszcz	Prust														Pruszcz Gdański	Gdansko Pruščas	Praust	Prušča Gdaņska	Pruszcz	Прушч Гдански	Прушч Гдањски	Прущ-Ґданський	Прущ-Гданьский	格但斯克普魯什奇																										Pruszcz Gdański	Praust	Pruszcz	Pruszcz Gduńsczi				Pruszcz	Brusicz	Prust	Prusz	Praust	Pruszcz	Pruscz	Prust	Pruszcz	Praust	Pruszcz	Pruszcz	Pruszcz Gdański	Praust																																		Pruszcz Gdański	Pruszcz Gdański	Pruszcz Gdański	Praust
Puck	Pautzig	Pucko		Rutzig		Putzig	Putzig	Putzag	Putzig		Putzig		Putzig	Putzig		Pautzig	Putzig	Putzig	Putzig	Putzig	Putzig	Pauzk		Putzig		Putzig	Pauzk	Pützig	Pauzk	Putzig		Puck	Putzig	Putzig	Pucko		Putzkow	Putzig		Putzig		Putzig	Putzig	Putzig		Putzig	Putzig	Putzig	Putzig	Putzig		Putzig	Pucko	Putzig	Putzig	Pucko		Putzig		Putzig	Pautzke	Putzig	Pucko	Putzig	Putzig	Puck	Peck	Putzig	Pauzigk	Pautzke	Putzc	Pusecz	Pucsze	Putsk	Pucz				Putzig	Pautzig	Putzig	Putzig	Putzig	Putzig	Puck	Putzig	Putzig	Putzig	Putzig	Puck	Putzig	Putzig	Putzig	Putzig	Puck	Putzig	Putzig	Putzig	Puck	Puck	Puck	Putzig		Puck		Puck	Puck		Puck	Puck		Puck				Putzig		Puck		Putzig		Puck	Putzig		Puck		Putzig				Puck		Putzig		Putzig	Putzig	Putzig		Puck		Puck		Putzig	Puck		Puck	Puck	Puck	Puck		Puck	Putzig		Puck	Puck	Puck	Puck	Puck	Puck	Puck	Putzig	Puck		Puck	Puck	Puck	Puck		Puck	Puck	Puck		Puck			Puck	Pùck	Pùckò					Puck		Puck		Puck	Putzig						Puck	Pùck	Putzig									Puck	Puck	Putzig	Pùck		Puck		Puck	Putzig	Puck 	Puczk	Puczch	Pucz	Pucze	Pawtczk	Pawtczke	Pawtczigk	Putczigk								Puck 	Putzig	Pùck	Пуцк																																Puck 	Pùck	Pùckò	Putzig				Pùck	Pùckò	Pëck	Puck	Putzig																																											Puck	Puck	Puck	Putzig
Rytel		Rydal				Rittel	Rittel	Rittel	Rittel		Rittel			Rittel			Rittel			Rittel																				Rittel		Rittel		Rittel			Rittel		Rittel	Rittel			Rytel	Rittel	Rittel			Rittel		Rittel		Rittel			Rittel	Rytel	Retel	Rittel											Rittel		Rittel	Rittel	Rittel	Rittel		Rittel		Rittel	Rittel		Rittel	Rittel	Rittel	Rittel	Retel	Rittel	Rittel	Rittel			Retel								Rytel			Rytel				Rittel		Rytel		Rittel			Rytel		Rittel		Rytel						Rittel		Rittel	Rittel	Rittel		Rytel		Rytel		Rittel	Rytel				Rytel			Rytel			Rytel		Rytel			Rytel					Rytel		Rytel	Rytel	Rytel	Rytel		Rytel		Rytel												Rytel		Rytel	Rittel																		Rytel				Rytel		Rytel	Rittel	Rytel 	Rettel 															Rytel 																																			Rytel 	Rittel																																																					Rytel	Rytel	Rytel	
Sępólno Krajeńskie	Zempelburg	Zempelbork		Zempelburg		Zempelburg	Zempelburg	Zempelburg	Zempelburg		Zempelburg	 	Zempelburg	Zempelburg		Zempelburg	Zempelburg	Zempelburg	Zempelburg	Zempelburg								Zempelburg						Zempelburg	Zempelbork		Zempelburg			Zempelburg		Zempelburg	Zempelburg	Zempelburg		Zempelburg	Zempelburg	Zempelburg	Zempelburg	Zempelburg		Zempelburg	Sępólno	Zempelburg	Zempelburg			Zempelburg		Zempelburg		Zempelburg	Zempelburg		Zempelburg	Sępólno	Sempelbork	Zempelburg	Sampolno	Sampulburg	Sempelbork	Samppilborg	Sampolburg	Sampolbor					Zempelburg		Zempelburg	Zempelburg	Zempelburg	Zempelburg	Sepolno	Zempelburg	Zempelburg	Zempelburg	Zempelburg		Zempelburg	Zempelburg	Zempelburg	Zempelburg	Sępólno	Zempelburg	Zempelburg	Zempelburg	Sępólno		Sępolno	Zempelburg		Sępolno		Sępolno			Sępolno			Sępolno				Zempelburg		Sępolno		Zempelburg		Sępolno	Zempelburg		Sępolno		Zempelburg	Sępolno	Zempelburg	Sępólno			Zempelburg		Zempelburg	Zempelburg	Zempelburg	Sepolino	Sępólno		Sępólno Krajeńskie		Zempelburg	Sępolno		Sępolno	Sępolno	Sępolno	Sępolno		Sępolno	Zempelburg		Sępólno	Sępólno	Sępólno Krajeńskie	Sępólno Krajeńskie	Sępólno Krajeńskie	Sępolno Krajeńskie	Sępólno Krajeńskie	Zempelburg	Sępólno		Sępólno Krajeńskie	Sępólno Krajeńskie	Sępólno Krajeńskie	Sępólno	Sępolno Krajenskie	Sępólno Krajeńskie	Sępólno Krajeńskie	Sępólno Krajeńskie		Sępólno Krajeńskie	Sępólno									Sępólno Krajeńskie		Sępólno Krajeńskie		Sępólno Krajeńskie	Sępolno	Zempelburg					Se̜pólno Krajeńskie	Zempelburg										Sępólno Krajeńskie	Sępólno Krajeńskie	Zempelburg			Sępólno Krajeńskie		Sępólno Krajeńskie	Zempelburg	Sępolno Krajeńskie	Samppilborg	Sampelno	Sempelbork	Zempelbork												Sępólno Krajeńskie	Cembelburg	Kraińskie	Sãpólno	Sempelborg	Sempulno Krajeņske	Sępolno	Sępólno Kraińskie	Zempelburg	Семполно Крайенске	Семпульно-Краеньске	Семпульно-Краєнське	Сенполно Крајењскје	森普爾諾-克拉延斯凱																						Sępólno Krajeńskie	Sępólno	Zempelburg					Sãpólno	Sampolno	Sampelno	de Sampulburg	de Sampelborg	Sempelborg	Villa Sąmpolna	Sępólno 	Sempelbork	Zempelburg	Sępólno Krajeńskie	Sęmpélbork	Sępólno	Sępólno Krajeńskie	Zempelburg																																	Sępólno Krajeńskie	Sępólno Krajeńskie	Sępólno Krajeńskie	Zempelburg
Skarszewy	Schöneck	Skarszewo		Skarszewo		Schöneck	Schöneck	Schönek	Schöneck		Schöneck		Schöneck	Schöneck		Schönek	Schöneck	Schöneck		Schöneck	Schöneck			Schöneck		Schöneck		Schöneck	Schoneck					Schöneck	Skarszewo		Schoneck			Schöneck		Schöneck	Schöneck	Schöneck		Schöneck	Schöneck	Schöneck	Schöneck	Schöneck		Schöneck	Skarszewo	Schöneck	Schöneck	Skorzewo	Schöneck	Schöneck		Schöneck	Skarzewo	Schöneck			Schöneck	Skarzewy	Schoeneck	Skarssewo											Schöneck		Schöneck	Schöneck	Schöneck	Schöneck	Starzewy	Schöneck	Schöneck	Schöneck	Schöneck		Schöneck	Schöneck	Schöneck	Schöneck	Skarszewy	Schöneck	Schöneck	Schöneck	Skarszewy		Skarszewy	Schöneck		Skarszewy		Skarszewy			Skarszewy	Skarszewy		Skarszewy		Schöneck		Schöneck		Skarszewy		Schöneck			Skarszewy		Schöneck		Skarszewy		Schöneck	Skarszewy			Schöneck		Schöneck	Schöneck	Schöneck		Skarszewy		Skarszewy		Skarszewy	Schöneck		Skarszewy	Skarszewy	Skarszewy	Skarszewy		Skarszewy	Schöneck		Skarszewy	Skarszewy	Skarszewy	Skarszewy	Skarszewy	Skarszewy	Skarszewy	Schöneck	Skarszewy		Skarszewy		Skarszewy	Skarszewy		Skarszewy	Skarszewy	Skarszewy		Skarszewy												Skarszewy		Skarszewy	Schöneck						Skarszewy	Schöneck										Skarszewy	Skarszewy	Schöneck			Skarszewy		Skarszewy	Schöneck	Skarszewy 	Skarszewo 															Skarszewy 	Skarševi	Skarszewë	Скаршеви	Скаршевы	斯卡爾謝維																														Skarszewy 	Skarszewë	Schöneck 					Skarszewë	Skarszewò	Skarszewy	Schöneck																																												Skarszewy	Skarszewy	Skarszewy	Schöneck
